Instrument,Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,LastRate,LotSize,QtyLimit,LTPPosition,Position
NIFTY,N,D,58934,NIFTY 28 OCT 2025 CE 25400.00,2025-10-28,CE,25400.0,,75,1800,Below,
NIFTY,N,D,58936,NIFTY 28 OCT 2025 CE 25450.00,2025-10-28,CE,25450.0,,75,1800,Below,
NIFTY,N,D,58937,NIFTY 28 OCT 2025 PE 25450.00,2025-10-28,PE,25450.0,,75,1800,Below,
NIFTY,N,D,58938,NIFTY 28 OCT 2025 CE 25500.00,2025-10-28,CE,25500.0,,75,1800,Below,
NIFTY,N,D,58939,NIFTY 28 OCT 2025 PE 25500.00,2025-10-28,PE,25500.0,,75,1800,Below,
NIFTY,N,D,58946,NIFTY 28 OCT 2025 CE 25550.00,2025-10-28,CE,25550.0,,75,1800,Below,
NIFTY,N,D,58949,NIFTY 28 OCT 2025 PE 25550.00,2025-10-28,PE,25550.0,,75,1800,Below,
NIFTY,N,D,58951,NIFTY 28 OCT 2025 CE 25600.00,2025-10-28,CE,25600.0,,75,1800,Below,
NIFTY,N,D,58952,NIFTY 28 OCT 2025 PE 25600.00,2025-10-28,PE,25600.0,,75,1800,Below,
NIFTY,N,D,58953,NIFTY 28 OCT 2025 CE 25650.00,2025-10-28,CE,25650.0,,75,1800,Below,
NIFTY,N,D,58954,NIFTY 28 OCT 2025 PE 25650.00,2025-10-28,PE,25650.0,,75,1800,Below,
NIFTY,N,D,58956,NIFTY 28 OCT 2025 CE 25700.00,2025-10-28,CE,25700.0,,75,1800,Below,
NIFTY,N,D,58959,NIFTY 28 OCT 2025 PE 25700.00,2025-10-28,PE,25700.0,,75,1800,Below,
NIFTY,N,D,58960,NIFTY 28 OCT 2025 CE 25750.00,2025-10-28,CE,25750.0,,75,1800,Below,
NIFTY,N,D,58962,NIFTY 28 OCT 2025 PE 25750.00,2025-10-28,PE,25750.0,,75,1800,Below,
NIFTY,N,D,58963,NIFTY 28 OCT 2025 CE 25800.00,2025-10-28,CE,25800.0,,75,1800,Above,
NIFTY,N,D,58965,NIFTY 28 OCT 2025 PE 25800.00,2025-10-28,PE,25800.0,,75,1800,Above,
NIFTY,N,D,58970,NIFTY 28 OCT 2025 CE 25850.00,2025-10-28,CE,25850.0,,75,1800,Above,
NIFTY,N,D,58973,NIFTY 28 OCT 2025 PE 25850.00,2025-10-28,PE,25850.0,,75,1800,Above,
NIFTY,N,D,58974,NIFTY 28 OCT 2025 CE 25900.00,2025-10-28,CE,25900.0,,75,1800,Above,
NIFTY,N,D,58997,NIFTY 28 OCT 2025 PE 25900.00,2025-10-28,PE,25900.0,,75,1800,Above,
NIFTY,N,D,58998,NIFTY 28 OCT 2025 CE 25950.00,2025-10-28,CE,25950.0,,75,1800,Above,
NIFTY,N,D,59003,NIFTY 28 OCT 2025 PE 25950.00,2025-10-28,PE,25950.0,,75,1800,Above,
NIFTY,N,D,59004,NIFTY 28 OCT 2025 CE 26000.00,2025-10-28,CE,26000.0,,75,1800,Above,
NIFTY,N,D,59005,NIFTY 28 OCT 2025 PE 26000.00,2025-10-28,PE,26000.0,,75,1800,Above,
NIFTY,N,D,59010,NIFTY 28 OCT 2025 CE 26050.00,2025-10-28,CE,26050.0,,75,1800,Above,
NIFTY,N,D,59011,NIFTY 28 OCT 2025 PE 26050.00,2025-10-28,PE,26050.0,,75,1800,Above,
NIFTY,N,D,59022,NIFTY 28 OCT 2025 CE 26100.00,2025-10-28,CE,26100.0,,75,1800,Above,
NIFTY,N,D,59023,NIFTY 28 OCT 2025 PE 26100.00,2025-10-28,PE,26100.0,,75,1800,Above,
NIFTY,N,D,59026,NIFTY 28 OCT 2025 CE 26150.00,2025-10-28,CE,26150.0,,75,1800,Above,
SENSEX,B,D,861579,SENSEX 30 OCT 2025 CE 83500.00,2025-10-30,CE,83500.0,,20,1000,Below,
SENSEX,B,D,861412,SENSEX 30 OCT 2025 CE 83600.00,2025-10-30,CE,83600.0,,20,1000,Below,
SENSEX,B,D,861559,SENSEX 30 OCT 2025 PE 83600.00,2025-10-30,PE,83600.0,,20,1000,Below,
SENSEX,B,D,861620,SENSEX 30 OCT 2025 CE 83700.00,2025-10-30,CE,83700.0,,20,1000,Below,
SENSEX,B,D,861764,SENSEX 30 OCT 2025 PE 83700.00,2025-10-30,PE,83700.0,,20,1000,Below,
SENSEX,B,D,861456,SENSEX 30 OCT 2025 CE 83800.00,2025-10-30,CE,83800.0,,20,1000,Below,
SENSEX,B,D,861598,SENSEX 30 OCT 2025 PE 83800.00,2025-10-30,PE,83800.0,,20,1000,Below,
SENSEX,B,D,861432,SENSEX 30 OCT 2025 PE 83900.00,2025-10-30,PE,83900.0,,20,1000,Below,
SENSEX,B,D,861664,SENSEX 30 OCT 2025 CE 83900.00,2025-10-30,CE,83900.0,,20,1000,Below,
SENSEX,B,D,861374,SENSEX 30 OCT 2025 CE 84000.00,2025-10-30,CE,84000.0,,20,1000,Below,
SENSEX,B,D,861522,SENSEX 30 OCT 2025 PE 84000.00,2025-10-30,PE,84000.0,,20,1000,Below,
SENSEX,B,D,861196,SENSEX 30 OCT 2025 CE 84100.00,2025-10-30,CE,84100.0,,20,1000,Below,
SENSEX,B,D,861351,SENSEX 30 OCT 2025 PE 84100.00,2025-10-30,PE,84100.0,,20,1000,Below,
SENSEX,B,D,861175,SENSEX 30 OCT 2025 PE 84200.00,2025-10-30,PE,84200.0,,20,1000,Below,
SENSEX,B,D,861426,SENSEX 30 OCT 2025 CE 84200.00,2025-10-30,CE,84200.0,,20,1000,Below,
SENSEX,B,D,861242,SENSEX 30 OCT 2025 CE 84300.00,2025-10-30,CE,84300.0,,20,1000,Above,
SENSEX,B,D,861402,SENSEX 30 OCT 2025 PE 84300.00,2025-10-30,PE,84300.0,,20,1000,Above,
SENSEX,B,D,861216,SENSEX 30 OCT 2025 PE 84400.00,2025-10-30,PE,84400.0,,20,1000,Above,
SENSEX,B,D,861768,SENSEX 30 OCT 2025 CE 84400.00,2025-10-30,CE,84400.0,,20,1000,Above,
SENSEX,B,D,861289,SENSEX 30 OCT 2025 CE 84500.00,2025-10-30,CE,84500.0,,20,1000,Above,
SENSEX,B,D,861446,SENSEX 30 OCT 2025 PE 84500.00,2025-10-30,PE,84500.0,,20,1000,Above,
SENSEX,B,D,861266,SENSEX 30 OCT 2025 PE 84600.00,2025-10-30,PE,84600.0,,20,1000,Above,
SENSEX,B,D,861816,SENSEX 30 OCT 2025 CE 84600.00,2025-10-30,CE,84600.0,,20,1000,Above,
SENSEX,B,D,861337,SENSEX 30 OCT 2025 CE 84700.00,2025-10-30,CE,84700.0,,20,1000,Above,
SENSEX,B,D,861790,SENSEX 30 OCT 2025 PE 84700.00,2025-10-30,PE,84700.0,,20,1000,Above,
SENSEX,B,D,861163,SENSEX 30 OCT 2025 CE 84800.00,2025-10-30,CE,84800.0,,20,1000,Above,
SENSEX,B,D,861313,SENSEX 30 OCT 2025 PE 84800.00,2025-10-30,PE,84800.0,,20,1000,Above,
SENSEX,B,D,861689,SENSEX 30 OCT 2025 CE 84900.00,2025-10-30,CE,84900.0,,20,1000,Above,
SENSEX,B,D,861835,SENSEX 30 OCT 2025 PE 84900.00,2025-10-30,PE,84900.0,,20,1000,Above,
SENSEX,B,D,861553,SENSEX 30 OCT 2025 PE 85000.00,2025-10-30,PE,85000.0,,20,1000,Above,
